"Estimate","Std..Error","t.value","Pr...t.."
"mu.visitWeek 72",0.52996432491617,0.328773819601618,1.61194198965824,0.108351887358972
"phi.(Intercept)",-5.48233198985735,0.359744977929296,-15.2394955488019,1.12200059242528e-36
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.87614835432705,0.75649579840227,-13.0551265125142,1.73547035830534e-29
"mu.visitWeek 72",0.588121307697283,0.626787630329204,0.938310329111611,0.349073532465732
"phi.(Intercept)",-4.98783705512241,0.725004770092165,-6.87972998369147,5.66961867181965e-11
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.83898471242166,0.394775880439611,-19.8567974915094,1.0686788341468e-51
"mu.visitWeek 72",-0.472468570665394,0.35613007274192,-1.32667417561162,0.18593791621095
"phi.(Intercept)",-4.58452082232691,0.418703346520665,-10.9493293053979,1.03186275513809e-22
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-7.99187919284152,0.304905334492547,-26.2110179414945,7.02384325529954e-71
"mu.visitWeek 72",0.127320864031531,0.274543425779829,0.463754918442797,0.643263846749908
"phi.(Intercept)",-5.11993799827624,0.311004241818879,-16.4625986074427,1.04799485431619e-40
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.88837314391257,0.361758987485137,-24.5698751140986,3.95515938779105e-66
"mu.visitWeek 72",-0.185771140478204,0.349207742011692,-0.531978871396224,0.595256344243344
"phi.(Intercept)",-5.79260649586376,0.383985503852611,-15.0854822323897,3.61615530588315e-36
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.12266209796298,1.10650025888957,-8.2446090949116,1.29000142646756e-14
"mu.visitWeek 72",0.944134516181814,0.836780378703587,1.12829428152289,0.26037633560397
"phi.(Intercept)",-3.20670885459811,1.01218324192634,-3.1681109919339,0.00174336765257184
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.91617785652253,0.379951368014024,-23.4666291718508,7.46178024065402e-63
"mu.visitWeek 72",-0.643832636062217,0.394169681389748,-1.63338954379296,0.103761191625318
"phi.(Intercept)",-5.83233385239403,0.418743164487157,-13.9281887969133,2.36849721717052e-32
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.817098692853,0.739662791221376,-14.6243650772147,1.20204284280075e-34
"mu.visitWeek 72",1.2663507315021,0.65829264907745,1.92368961323934,0.0556332433172162
"phi.(Intercept)",-5.82944512509525,0.623191582678184,-9.35417821281064,8.02067131444495e-18
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-9.71134289137995,0.658904509724178,-14.7386195542131,5.0458943446575e-35
"mu.visitWeek 72",0.0112576227399402,0.57731522798603,0.0194999580718016,0.984459249890787
"phi.(Intercept)",-5.31636512952068,0.676727577324564,-7.85599007290184,1.5319144322868e-13
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.4500465607487,0.774666178578638,-10.9079843607641,1.39201790653984e-22
"mu.visitWeek 72",-2.10770018628878,1.0606968353336,-1.98709010537011,0.0481040802338901
"phi.(Intercept)",-4.10273480352416,0.849054508191329,-4.83212180601205,2.47457173348794e-06
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.0635942575772,0.461719035402752,-21.7959267128738,9.0315265258939e-58
"mu.visitWeek 72",0.423600313577714,0.433438492731939,0.977302017889053,0.329450937213729
"phi.(Intercept)",-6.34939908864214,0.45811121262919,-13.8599512817023,3.97213698545368e-32
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-8.60967194129343,1.53052206344253,-5.62531710384371,5.37529895518594e-08
"mu.visitWeek 72",-0.688877970991753,1.22488055515289,-0.56240420185768,0.574390769624654
"phi.(Intercept)",-2.59935457495046,1.59201569980894,-1.63274430978439,0.103896992791621
"Estimate","Std..Error","t.value","Pr...t.."
"mu.(Intercept)",-10.2653832152954,1.01763596313523,-10.087480776199,4.90595408685787e-20
"mu.visitWeek 72",-0.392558550129342,0.912882981022433,-0.430020668902902,0.667584986563252
