"","average","sd","ratio","ava","avb","cumsum","p"
"ASV_934",7.35143836046429e-06,5.52990307973974e-05,0.132939732477378,1.22719742900262e-05,2.4975024975025e-06,0.999829498973164,0.227722772277228
"ASV_761",7.03404836824895e-06,6.49311050363865e-05,0.108330951156725,0,1.40680967364979e-05,0.999842528997448,1
"Leuconostoc",6.64434614396424e-06,6.71905286948873e-05,0.0988881360665619,0,1.32886922879285e-05,0.99985483712885,1
"ASV_1004",6.46413542783634e-06,4.97224134104829e-05,0.130004458441543,6.7447735453069e-06,6.27109177199314e-06,0.999866811434,0.702970297029703
"ASV_1482",6.074503586855e-06,5.53392978471858e-05,0.109768353108295,8.12434524191307e-06,4.0790492551996e-06,0.999878063976647,0.544554455445545
"ASV_461",5.94068723717857e-06,3.92801700325909e-05,0.151238837109146,1.07649379940003e-05,1.17269519951357e-06,0.999889068634977,0.0891089108910891
"ASV_1234",5.04615612352415e-06,4.46698607727046e-05,0.112965566407308,6.15049795377664e-06,3.99508205399154e-06,0.999898416244403,0.534653465346535
"Desulfobulbus",4.97186191360349e-06,4.17172323345269e-05,0.119180051872439,9.94372382720699e-06,0,0.999907626229617,0.108910891089109
"Mobiluncus",4.8383783304813e-06,4.16315014118365e-05,0.116219164968806,9.67675666096261e-06,0,0.999916588946938,0.316831683168317
"ASV_817",4.53340424869585e-06,3.95968673104844e-05,0.11448896229969,4.12654745529574e-06,4.99385256748942e-06,0.999924986723632,0.732673267326733
"ASV_1121",4.36150678184242e-06,4.87790576040049e-05,0.0894135105530273,0,8.72301356368483e-06,0.999933066073717,1
"ASV_596",4.27654526738217e-06,3.73712667851324e-05,0.114434046134169,3.87304169329383e-06,4.73034808424056e-06,0.999940988039243,0.762376237623762
"ASV_860",4.06869292246852e-06,3.59546795280322e-05,0.113161707345948,0,8.13738584493704e-06,0.999948524974562,1
"ASV_1738",4.01642313059222e-06,4.15027116397291e-05,0.0967749569102235,8.03284626118443e-06,0,0.999955965084182,0.267326732673267
"ASV_1504",3.6355548403255e-06,4.1572893164284e-05,0.0874501282833227,5.73156228058863e-07,6.70539703996953e-06,0.999962699665091,1
"ASV_1628",3.5936374961592e-06,3.58950086819825e-05,0.100115242428205,7.18727499231839e-06,0,0.999969356597399,0.297029702970297
"Pseudoramibacter",3.50084322424467e-06,2.92358086854986e-05,0.119745044917507,2.81482374343629e-06,4.2234188575652e-06,0.999975841635579,0.712871287128713
"ASV_1306",3.20662298976646e-06,2.45215503913836e-05,0.130767546855162,3.01114122252334e-06,3.44807914561783e-06,0.999981781653793,0.732673267326733
"ASV_1235",2.97719911441476e-06,2.60057023832456e-05,0.11448254965545,0,5.95439822882952e-06,0.999987296682228,1
"ASV_1456",2.83839696187794e-06,3.023483407259e-05,0.0938783707250818,5.67679392375588e-06,0,0.999992554590534,0.247524752475248
"Wolinella",2.6830244743769e-06,2.61320622878362e-05,0.102671746486146,5.36604894875379e-06,0,0.999997524683462,0.257425742574257
"ASV_1325",1.3362596931697e-06,1.21952009444069e-05,0.10957258508992,9.2444937484111e-07,1.76007584753519e-06,1,1
